id,cid,pid,p,ap,v,ciso,u,dt,yoypc,seqpc
18315_263368_13001_2QFY-2020,18315,263368,2QFY-2020,2QFY-2020,-1.995049213178523,XXX,2,A,-834.2987034414577,-740.5270319520143
18315_263368_13001_FY-2027,18315,263368,FY-2027,FY-2027,11.29906992601035,XXX,2,E,383.31569692335125,383.31569692335125
18315_203_13001_3QFY-2026,18315,203,3QFY-2026,3QFY-2026,11025966542.971813,INR,1,E,5.822526877734716,1.707399405207035
18315_203_13001_1HFY-2022,18315,203,1HFY-2022,1HFY-2022,13289700000.0,INR,1,A,46.5996712739788,-9.730203366344705
18315_205_13001_4QFY-2028,18315,205,4QFY-2028,4QFY-2028,132736433.2902885,INR,1,E,-5.994627844593251,0.0
18315_206_13001_1HFY-2019,18315,206,1HFY-2019,1HFY-2019,-17200000.0,INR,1,A,83.23586744639377,
18315_206_13001_4QFY-2017,18315,206,4QFY-2017,4QFY-2017,,INR,1,A,,
18315_206_13001_2HFY-2020,18315,206,2HFY-2020,2HFY-2020,22800000.0,INR,1,A,,-3.389830508474576
18315_2767_13001_2QFY-2025,18315,2767,2QFY-2025,2QFY-2025,3394500000.0,INR,1,A,,
18315_208_13001_4QFY-2028,18315,208,4QFY-2028,4QFY-2028,2324228307.3465834,INR,1,E,47.20473782227101,19.32792088237424
18315_209_13001_1QFY-2027,18315,209,1QFY-2027,1QFY-2027,410416820.9376255,INR,1,E,3.6144460837226777,-2.1020575351981248
18315_209_13001_4QFY-2019,18315,209,4QFY-2019,4QFY-2019,362300000.0,INR,1,A,29.254370317516948,7.635175282234105
18315_210_13001_4QFY-2028,18315,210,4QFY-2028,4QFY-2028,1722528947.4364715,INR,1,E,46.66404825976915,19.29311863013032
18315_210_13001_1HFY-2019,18315,210,1HFY-2019,1HFY-2019,959999999.999999,INR,1,A,-9.314188550916395,
18315_211_13001_FY-2028,18315,211,FY-2028,FY-2028,86942847.92177223,INR,1,E,3.4612797724633797,3.4612797724633797
18315_204_13001_FY-2019,18315,204,FY-2019,FY-2019,3604300000.0,INR,1,A,-2.0117989288530027,-2.0117989288530027
18315_204_13001_4QFY-2018,18315,204,4QFY-2018,4QFY-2018,972100000.0,INR,1,A,,10.843785632839225
18315_204_13001_3QFY-2028,18315,204,3QFY-2028,3QFY-2028,1805029261.5781,INR,1,E,-6.413462012932254,0.8335326308044178
18315_204_13001_2HFY-2021,18315,204,2HFY-2021,2HFY-2021,3186100000.0,INR,1,A,114.43666711535873,281.3861623174527
18315_204_13001_1HFY-2020,18315,204,1HFY-2020,1HFY-2020,1592300000.0,INR,1,A,-0.8036381759282332,
18315_217_13001_1HFY-2021,18315,217,1HFY-2021,1HFY-2021,620200000.0,INR,1,A,-56.9902912621359,-44.19148744713399
18315_217_13001_3QFY-2016,18315,217,3QFY-2016,3QFY-2016,,INR,1,A,,
18315_217_13001_FY-2017,18315,217,FY-2017,FY-2017,,INR,1,A,,
18315_217_13001_2QFY-2017,18315,217,2QFY-2017,2QFY-2017,,INR,1,A,,
18315_217_13001_3QFY-2019,18315,217,3QFY-2019,3QFY-2019,648000000.0,INR,1,A,19.315043270116,29.08366533864542
18315_217_13001_FY-2027,18315,217,FY-2027,FY-2027,6012112447.425286,INR,1,E,16.254527640600273,16.254527640600273
18315_217_13001_FY-2028,18315,217,FY-2028,FY-2028,6916972627.884119,INR,1,E,15.050619701006143,15.050619701006143
18315_218_13001_1HFY-2021,18315,218,1HFY-2021,1HFY-2021,3.904551850220292,INR,1,A,-56.99029853435368,-44.14088912417322
18315_218_13001_1HFY-2022,18315,218,1HFY-2022,1HFY-2022,10.022649899307718,INR,1,A,156.6914279481843,-35.2924323519074
18315_218_13001_2HFY-2020,18315,218,2HFY-2020,2HFY-2020,6.99,INR,1,A,,-23.00324729253986
